ageAtBeg,avgAmount,currentAge,faYear,grtAmount,grtSigning,name,position,practicalGrt,team,totalAmount,totalYears,yrRange
32,"$30,000,000",34,2024,"$94,500,000",66.67%,Matt Ryan,QB,"$100,000,000",ATL,"$150,000,000",5, (2018-2023)
27,"$23,500,000",28,2025,"$60,000,000",63.83%,Khalil Mack,OLB,"$90,000,000",CHI,"$141,000,000",6, (2018-2024)
30,"$35,000,000",31,2024,"$70,000,000",76.43%,Russell Wilson,QB,"$107,000,000",SEA,"$140,000,000",4, (2019-2023)
26,"$27,500,000",28,2023,"$41,700,000",53.89%,Jimmy Garoppolo,QB,"$74,100,000",SF,"$137,500,000",5, (2018-2022)
29,"$27,000,000",31,2023,"$60,500,000",68.15%,Matthew Stafford,QB,"$92,000,000",DET,"$135,000,000",5, (2017-2022)
27,"$22,500,000",28,2025,"$50,000,000",64.36%,Aaron Donald,DT,"$86,892,000",LAR,"$135,000,000",6, (2018-2024)
34,"$33,500,000",36,2024,"$79,200,000",73.66%,Aaron Rodgers,QB,"$98,700,000",GB,"$134,000,000",4, (2018-2023)
24,"$33,500,000",25,2025,"$57,042,682",82.12%,Jared Goff,QB,"$110,042,682",LAR,"$134,000,000",4, (2019-2024)
26,"$32,000,000",27,2025,"$66,470,683",84.35%,Carson Wentz,QB,"$107,970,683",PHI,"$128,000,000",4, (2019-2024)
26,"$25,000,000",28,2023,"$40,000,000",56.16%,Derek Carr,QB,"$70,200,000",OAK,"$125,000,000",5, (2017-2022)
27,"$19,016,667",30,2022,"$42,000,000",61.35%,Von Miller,OLB,"$70,000,000",DEN,"$114,100,000",6, (2016-2021)
26,"$21,000,000",27,2024,"$48,000,000",61.90%,DeMarcus Lawrence,DE,"$65,000,000",DAL,"$105,000,000",5, (2019-2023)
25,"$20,800,000",26,2024,"$43,805,000",59.91%,Frank Clark,DE,"$62,305,000",KC,"$104,000,000",5, (2019-2023)
26,"$20,760,000",30,2021,"$41,000,000",57.80%,Cam Newton,QB,"$60,000,000",CAR,"$103,800,000",5, (2015-2020)
25,"$17,100,000",29,2023,"$36,299,000",61.69%,Fletcher Cox,DT,"$63,299,000",PHI,"$102,600,000",6, (2016-2022)
25,"$16,667,571",30,2022,"$30,881,810",51.87%,J.J. Watt,DE,"$51,876,000",HOU,"$100,005,425",6, (2014-2021)
23,"$12,200,000",29,2024,"$22,118,013",22.66%,Tyron Smith,LT,"$22,118,013",DAL,"$97,600,000",8, (2016-2023)
25,"$19,250,000",26,2025,"$35,648,043",62.96%,Michael Thomas,WR,"$60,598,043",NO,"$96,250,000",5, (2019-2024)
26,"$16,000,000",32,2021,"$17,000,000",17.71%,Andy Dalton,QB,"$17,000,000",CIN,"$96,000,000",6, (2014-2020)
33,"$23,500,000",35,2023,"$55,000,000",75.53%,Alex Smith,QB,"$71,000,000",WAS,"$94,000,000",4, (2018-2022)
25,"$18,000,000",27,2024,"$40,959,000",72.22%,"Odell Beckham, Jr.",WR,"$65,000,000",CLE,"$90,000,000",5, (2018-2023)
25,"$18,000,000",26,2024,"$40,000,000",62.22%,Trey Flowers,DE,"$56,000,000",DET,"$90,000,000",5, (2019-2023)
24,"$15,000,000",24,2027,"$28,052,137",55.61%,Ezekiel Elliott,RB,"$50,052,137",DAL,"$90,000,000",6, (2019-2026)
30,"$22,000,000",30,2023,"$45,125,000",56.96%,Nick Foles,QB,"$50,125,000",JAC,"$88,000,000",4, (2019-2022)
27,"$17,100,000",28,2024,"$19,750,000",39.01%,Dee Ford,OLB,"$33,350,000",SF,"$85,500,000",5, (2019-2023)
25,"$17,000,000",29,2021,"$40,500,000",61.76%,Olivier Vernon,OLB,"$52,500,000",CLE,"$85,000,000",5, (2016-2020)
26,"$17,000,000",27,2024,"$43,000,000",60.00%,C.J. Mosley,ILB,"$51,000,000",NYJ,"$85,000,000",5, (2019-2023)
34,"$21,000,000",38,2020,"$54,000,000",79.76%,Eli Manning,QB,"$67,000,000",NYG,"$84,000,000",4, (2015-2019)
29,"$28,000,000",31,2021,"$84,000,000",100.00%,Kirk Cousins,QB,"$84,000,000",MIN,"$84,000,000",3, (2018-2020)
27,"$14,000,000",29,2025,"$32,000,000",47.62%,Zack Martin,G,"$40,000,000",DAL,"$84,000,000",6, (2018-2024)
25,"$14,000,000",26,2025,"$26,000,000",52.98%,Landon Collins,FS,"$44,500,000",WAS,"$84,000,000",6, (2019-2024)
33,"$20,812,500",38,2020,"$37,500,000",78.08%,Philip Rivers,QB,"$65,000,000",LAC,"$83,250,000",4, (2015-2019)
27,"$16,500,000",29,2022,"$31,000,000",61.82%,Chandler Jones,OLB,"$51,000,000",ARI,"$82,500,000",5, (2017-2021)
24,"$16,500,000",26,2024,"$38,258,000",66.68%,Mike Evans,WR,"$55,008,000",TB,"$82,500,000",5, (2018-2023)
25,"$16,200,000",27,2023,"$36,500,000",60.49%,DeAndre Hopkins,WR,"$49,000,000",HOU,"$81,000,000",5, (2017-2022)
24,"$16,200,000",26,2024,"$20,459,000",61.06%,Brandin Cooks,WR,"$49,459,000",LAR,"$81,000,000",5, (2018-2023)
28,"$16,100,000",30,2022,"$35,000,000",43.48%,Kawann Short,DE,"$35,000,000",CAR,"$80,500,000",5, (2017-2021)
27,"$16,000,000",28,2024,"$34,000,000",62.50%,Taylor Lewan,LT,"$50,000,000",TEN,"$80,000,000",5, (2018-2023)
25,"$15,100,000",27,2023,"$34,000,000",62.25%,Jarvis Landry,WR,"$47,000,000",CLE,"$75,500,000",5, (2018-2022)
25,"$15,050,000",26,2025,"$27,185,641",52.17%,Xavien Howard,CB,"$39,260,641",MIA,"$75,250,000",5, (2019-2024)
28,"$15,000,000",32,2021,"$36,500,000",66.67%,Josh Norman,CB,"$50,000,000",WAS,"$75,000,000",5, (2016-2020)
28,"$14,500,000",30,2023,"$34,000,000",62.07%,Trumaine Johnson,CB,"$45,000,000",NYJ,"$72,500,000",5, (2018-2022)
26,"$14,500,000",27,2024,"$34,946,000",57.03%,Jake Matthews,LT,"$41,350,000",ATL,"$72,500,000",5, (2018-2023)
23,"$14,400,000",25,2024,"$16,907,000",55.56%,Danielle Hunter,DE,"$40,000,000",MIN,"$72,000,000",5, (2018-2023)
24,"$14,400,000",26,2024,"$16,907,000",55.57%,Stefon Diggs,WR,"$40,007,000",MIN,"$72,000,000",5, (2018-2023)
29,"$18,000,000",30,2026,"$20,350,000",75.83%,Lane Johnson,RT,"$54,595,000",PHI,"$72,000,000",4, (2019-2025)
25,"$14,100,000",26,2025,"$19,625,000",43.97%,Kevin Byard,FS,"$31,000,000",TEN,"$70,500,000",5, (2019-2024)
27,"$14,020,000",29,2023,"$22,400,000",46.79%,Xavier Rhodes,CB,"$32,800,000",MIN,"$70,100,000",5, (2017-2022)
24,"$14,010,000",29,2021,"$16,249,114",67.62%,Patrick Peterson,CB,"$47,368,114",ARI,"$70,050,000",5, (2016-2020)
26,"$13,750,000",29,2023,"$20,776,000",60.40%,Desmond Trufant,CB,"$41,526,000",ATL,"$68,750,000",5, (2017-2022)
24,"$11,403,500",24,2025,"$19,006,678",51.75%,Jaylon Smith,ILB,"$35,406,678",DAL,"$68,421,000",6, (2019-2024)
27,"$13,600,000",31,2021,"$30,000,000",60.66%,Trent Williams,LT,"$41,250,000",WAS,"$68,000,000",5, (2015-2020)
37,"$34,000,000",37,2022,"$37,500,000",55.15%,Ben Roethlisberger,QB,"$37,500,000",PIT,"$68,000,000",2, (2019-2021)
26,"$17,000,000",26,2023,"$38,000,000",62.50%,Grady Jarrett,DT,"$42,500,000",ATL,"$68,000,000",4, (2019-2022)
25,"$13,500,000",28,2022,"$26,000,000",38.52%,A.J. Bouye,CB,"$26,000,000",JAC,"$67,500,000",5, (2017-2021)
26,"$13,500,000",27,2024,"$15,900,000",48.89%,Anthony Barr,OLB,"$33,000,000",MIN,"$67,500,000",5, (2019-2023)
26,"$13,300,000",28,2023,"$30,000,000",45.11%,Andrew Norwell,G,"$30,000,000",JAC,"$66,500,000",5, (2018-2022)
31,"$22,133,333",35,2022,"$44,000,000",66.27%,Joe Flacco,QB,"$44,000,000",DEN,"$66,400,000",3, (2016-2021)
26,"$16,500,000",27,2023,"$20,000,000",30.30%,Za'Darius Smith,OLB,"$20,000,000",GB,"$66,000,000",4, (2019-2022)
25,"$16,500,000",26,2023,"$36,250,000",54.92%,Trenton Brown,RT,"$36,250,000",OAK,"$66,000,000",4, (2019-2022)
30,"$22,000,000",30,2024,"$64,000,000",96.97%,Julio Jones,WR,"$64,000,000",ATL,"$66,000,000",3, (2019-2023)
30,"$16,300,000",31,2023,"$17,000,000",38.34%,Geno Atkins,DT,"$25,000,000",CIN,"$65,200,000",4, (2018-2022)
26,"$13,000,000",29,2022,"$31,000,000",61.54%,Stephon Gilmore,CB,"$40,000,000",NE,"$65,000,000",5, (2017-2021)
25,"$13,000,000",30,2021,"$11,000,000",43.08%,T.Y. Hilton,WR,"$28,000,000",IND,"$65,000,000",5, (2015-2020)
24,"$13,000,000",28,2022,"$15,880,000",58.46%,Terron Armstead,LT,"$38,000,000",NO,"$65,000,000",5, (2016-2021)
28,"$16,050,000",29,2025,"$14,105,000",51.40%,Adam Thielen,WR,"$33,000,000",MIN,"$64,200,000",4, (2019-2024)
28,"$16,000,000",30,2021,"$34,000,000",53.13%,Melvin Ingram,OLB,"$34,000,000",LAC,"$64,000,000",4, (2017-2020)
27,"$12,500,000",31,2021,"$28,800,000",46.08%,Janoris Jenkins,CB,"$28,800,000",NO,"$62,500,000",5, (2016-2020)
29,"$15,500,000",31,2022,"$34,800,000",56.13%,Nate Solder,LT,"$34,800,000",NYG,"$62,000,000",4, (2018-2021)
28,"$12,250,000",29,2023,"$24,000,000",48.98%,Malcolm Butler,CB,"$30,000,000",TEN,"$61,250,000",5, (2018-2022)
27,"$15,100,000",30,2023,"$24,000,000",66.23%,Jurrell Casey,DT,"$40,000,000",TEN,"$60,400,000",4, (2017-2022)
24,"$12,000,288",26,2023,"$13,000,000",21.67%,Stephon Tuitt,DE,"$13,000,000",PIT,"$60,001,439",5, (2017-2022)
30,"$15,000,000",33,2021,"$30,000,000",50.00%,Calais Campbell,DE,"$30,000,000",JAC,"$60,000,000",4, (2017-2020)
29,"$12,000,000",31,2023,"$19,885,000",58.33%,Reshad Jones,SS,"$35,000,000",MIA,"$60,000,000",5, (2017-2022)
27,"$15,000,000",31,2020,"$26,750,000",54.58%,A.J. Green,WR,"$32,750,000",CIN,"$60,000,000",4, (2015-2019)
26,"$12,000,000",30,2021,"$28,000,000",60.00%,Cordy Glenn,T,"$36,000,000",CIN,"$60,000,000",5, (2016-2020)
26,"$9,866,667",30,2021,"$15,000,000",25.34%,Cameron Heyward,DT,"$15,000,000",PIT,"$59,200,000",6, (2015-2020)
28,"$11,750,000",31,2022,"$26,300,000",44.77%,Riley Reiff,LT,"$26,300,000",MIN,"$58,750,000",5, (2017-2021)
27,"$14,600,000",27,2025,"$22,000,000",56.51%,Eddie Jackson,FS,"$33,000,000",CHI,"$58,400,000",4, (2020-2024)
29,"$14,500,000",32,2023,"$18,800,000",58.62%,Everson Griffen,DE,"$34,000,000",MIN,"$58,000,000",4, (2017-2022)
25,"$14,500,000",27,2022,"$24,000,000",51.72%,Davante Adams,WR,"$30,000,000",GB,"$58,000,000",4, (2017-2021)
26,"$11,500,000",31,2021,"$23,788,000",41.37%,Ryan Kerrigan,OLB,"$23,788,000",WAS,"$57,500,000",5, (2015-2020)
23,"$14,375,000",25,2024,"$21,950,000",78.26%,Todd Gurley,RB,"$45,000,000",LAR,"$57,500,000",4, (2018-2023)
23,"$14,250,000",24,2024,"$26,063,787",58.01%,Myles Jack,ILB,"$33,063,787",JAC,"$57,000,000",4, (2019-2023)
28,"$9,500,000",33,2020,"$11,500,000",44.74%,Aqib Talib,CB,"$25,500,000",MIA,"$57,000,000",6, (2014-2019)
24,"$14,250,000",25,2024,"$18,800,000",59.65%,Deion Jones,ILB,"$34,000,000",ATL,"$57,000,000",4, (2019-2023)
25,"$9,400,010",29,2024,"$18,162,882",49.93%,Travis Frederick,C,"$28,162,882",DAL,"$56,400,060",6, (2016-2023)
30,"$14,087,500",30,2025,"$4,911,177",53.24%,Brandon Brooks,G,"$30,000,000",PHI,"$56,350,000",4, (2019-2024)
29,"$13,750,000",30,2023,"$32,000,000",58.18%,Earl Thomas,FS,"$32,000,000",BAL,"$55,000,000",4, (2019-2022)
25,"$11,000,000",28,2023,"$16,500,000",50.00%,Gabe Jackson,G,"$27,500,000",OAK,"$55,000,000",5, (2017-2022)
25,"$13,608,250",25,2024,"$27,525,000",50.57%,Shaq Thompson,OLB,"$27,525,000",CAR,"$54,433,000",4, (2019-2023)
25,"$10,825,000",26,2024,"$10,374,581",19.17%,Ali Marpet,G,"$10,374,581",TB,"$54,125,000",5, (2019-2023)
24,"$13,500,000",25,2023,"$14,250,000",47.22%,Kwon Alexander,ILB,"$25,500,000",SF,"$54,000,000",4, (2019-2022)
29,"$13,500,000",29,2024,"$18,000,000",52.78%,Whitney Mercilus,OLB,"$28,500,000",HOU,"$54,000,000",4, (2019-2023)
25,"$18,000,000",25,2023,"$22,540,000",64.81%,Tyreek Hill,WR,"$35,000,000",KC,"$54,000,000",3, (2019-2022)
29,"$18,000,000",29,2023,"$24,500,000",74.54%,Bobby Wagner,ILB,"$40,250,000",SEA,"$54,000,000",3, (2019-2022)
29,"$13,250,000",32,2021,"$25,000,000",47.17%,Russell Okung,LT,"$25,000,000",LAC,"$53,000,000",4, (2017-2020)
27,"$10,500,000",30,2022,"$12,000,000",22.86%,Dre Kirkpatrick,CB,"$12,000,000",CIN,"$52,500,000",5, (2017-2021)
27,"$13,125,000",27,2023,"$27,000,000",51.43%,Le'Veon Bell,RB,"$27,000,000",NYJ,"$52,500,000",4, (2019-2022)
28,"$10,500,000",30,2022,"$24,500,000",64.29%,Brandon Williams,DT,"$33,750,000",BAL,"$52,500,000",5, (2017-2021)
29,"$17,500,000",30,2024,"$27,435,000",80.07%,Cameron Jordan,DE,"$42,035,000",NO,"$52,500,000",3, (2019-2023)
27,"$13,000,000",29,2022,"$14,000,000",51.44%,Alshon Jeffery,WR,"$26,750,000",PHI,"$52,000,000",4, (2017-2021)
26,"$13,000,000",27,2023,"$16,000,000",30.77%,Preston Smith,OLB,"$16,000,000",GB,"$52,000,000",4, (2019-2022)
25,"$10,340,600",27,2023,"$19,500,000",46.42%,Brandon Linder,C,"$24,000,000",JAC,"$51,703,000",5, (2017-2022)
27,"$10,250,000",27,2025,"$17,526,078",52.73%,Cody Whitehair,G,"$27,026,078",CHI,"$51,250,000",5, (2019-2024)
27,"$10,250,000",30,2022,"$15,278,000",55.76%,Harrison Smith,FS,"$28,578,000",MIN,"$51,250,000",5, (2016-2021)
25,"$8,527,463",28,2023,"$17,164,777",46.25%,Joel Bitonio,G,"$23,664,777",CLE,"$51,164,777",6, (2017-2022)
26,"$12,750,000",27,2023,"$27,000,000",62.75%,Ja'Wuan James,RT,"$32,000,000",DEN,"$51,000,000",4, (2019-2022)
28,"$12,587,500",31,2023,"$11,500,000",62.56%,Linval Joseph,DT,"$31,500,000",MIN,"$50,350,000",4, (2017-2022)
25,"$10,050,000",29,2021,"$5,738,418",50.86%,Lavonte David,OLB,"$25,556,418",TB,"$50,250,000",5, (2015-2020)
39,"$25,000,000",40,2020,"$20,700,000",54.00%,Drew Brees,QB,"$27,000,000",NO,"$50,000,000",2, (2018-2019)
26,"$10,000,000",30,2022,"$16,000,000",32.00%,David DeCastro,G,"$16,000,000",PIT,"$50,000,000",5, (2016-2021)
28,"$10,000,000",30,2023,"$18,500,000",49.30%,Star Lotulelei,DT,"$24,650,000",BUF,"$50,000,000",5, (2018-2022)
25,"$10,000,000",27,2024,"$16,000,000",42.00%,Benardrick McKinney,ILB,"$21,000,000",HOU,"$50,000,000",5, (2018-2023)
26,"$10,000,000",27,2024,"$11,638,080",50.00%,Eric Kendricks,ILB,"$25,000,000",MIN,"$50,000,000",5, (2018-2023)
26,"$10,000,000",26,2025,"$19,966,000",70.00%,La'el Collins,RT,"$35,000,000",DAL,"$50,000,000",5, (2019-2024)
25,"$12,037,500",29,2021,"$23,100,000",47.98%,Darius Slay,CB,"$23,100,000",DET,"$48,150,000",4, (2016-2020)
27,"$12,000,000",30,2022,"$22,000,000",62.50%,Akiem Hicks,DT,"$30,000,000",CHI,"$48,000,000",4, (2017-2021)
25,"$12,000,000",29,2022,"$22,000,000",45.83%,Eric Fisher,LT,"$22,000,000",KC,"$48,000,000",4, (2016-2021)
24,"$12,000,000",28,2021,"$16,700,000",34.79%,David Bakhtiari,LT,"$16,700,000",GB,"$48,000,000",4, (2016-2020)
24,"$16,000,000",26,2021,"$30,000,000",62.50%,Sammy Watkins,WR,"$30,000,000",KC,"$48,000,000",3, (2018-2020)
27,"$9,500,000",32,2020,"$22,000,000",60.00%,Devin McCourty,FS,"$28,500,000",NE,"$47,500,000",5, (2015-2019)
27,"$9,500,000",30,2022,"$17,500,000",43.16%,Ricky Wagner,RT,"$20,500,000",DET,"$47,500,000",5, (2017-2021)
26,"$9,500,000",28,2023,"$16,500,000",60.00%,Weston Richburg,C,"$28,500,000",SF,"$47,500,000",5, (2018-2022)
26,"$9,368,400",30,2022,"$10,517,000",42.73%,Travis Kelce,TE,"$20,017,000",KC,"$46,842,000",5, (2016-2021)
25,"$9,350,000",29,2022,"$14,000,000",47.06%,Jordan Reed,TE,"$22,000,000",WAS,"$46,750,000",5, (2016-2021)
30,"$9,000,000",34,2021,"$20,000,000",63.33%,Alex Mack,C,"$28,500,000",ATL,"$45,000,000",5, (2016-2020)
25,"$9,000,000",30,2021,"$17,425,000",54.83%,Tyrone Crawford,DT,"$24,675,000",DAL,"$45,000,000",5, (2015-2020)
24,"$11,250,000",27,2021,"$20,656,000",45.90%,Keenan Allen,WR,"$20,656,000",LAC,"$45,000,000",4, (2016-2020)
24,"$11,250,000",26,2022,"$20,500,000",45.56%,Trai Turner,G,"$20,500,000",CAR,"$45,000,000",4, (2017-2021)
25,"$9,000,000",27,2023,"$21,290,000",47.31%,Anthony Hitchens,ILB,"$21,290,000",KC,"$45,000,000",5, (2018-2022)
24,"$9,000,000",26,2024,"$21,907,000",52.22%,Shaq Mason,G,"$23,500,000",NE,"$45,000,000",5, (2018-2023)
27,"$8,955,000",29,2023,"$13,000,000",35.18%,Justin Pugh,G,"$15,750,000",ARI,"$44,775,000",5, (2018-2022)
26,"$11,125,000",27,2023,"$20,400,000",58.82%,Mitch Morse,C,"$26,175,000",BUF,"$44,500,000",4, (2019-2022)
27,"$11,075,000",27,2023,"$10,000,000",49.66%,Tyrell Williams,WR,"$22,000,000",OAK,"$44,300,000",4, (2019-2022)
30,"$11,000,000",31,2023,"$19,000,000",51.14%,Rodger Saffold,G,"$22,500,000",TEN,"$44,000,000",4, (2019-2022)
27,"$10,953,000",31,2020,"$18,000,000",79.89%,Anthony Castonzo,LT,"$35,000,000",IND,"$43,812,000",4, (2015-2019)
25,"$10,750,000",26,2024,"$11,080,769",40.19%,Tyler Boyd,WR,"$17,280,769",CIN,"$43,000,000",4, (2019-2023)
26,"$10,687,500",28,2022,"$21,369,000",49.99%,Alec Ogletree,ILB,"$21,369,000",NYG,"$42,750,000",4, (2017-2021)
25,"$8,500,000",29,2022,"$13,138,527",49.41%,Zach Ertz,TE,"$21,000,000",PHI,"$42,500,000",5, (2016-2021)
26,"$8,472,600",28,2023,"$14,000,000",47.69%,Laurent Duvernay-Tardif,G,"$20,203,000",KC,"$42,363,000",5, (2017-2022)
24,"$10,510,000",26,2023,"$14,250,000",59.47%,Eddie Goldman,DT,"$25,000,000",CHI,"$42,040,000",4, (2018-2022)
26,"$14,000,000",27,2022,"$26,800,000",63.81%,Tyrann Mathieu,FS,"$26,800,000",KC,"$42,000,000",3, (2019-2021)
26,"$10,500,000",28,2022,"$22,000,000",52.38%,Ryan Jensen,C,"$22,000,000",TB,"$42,000,000",4, (2018-2021)
28,"$10,500,000",29,2023,"$16,700,000",50.71%,LaMarcus Joyner,FS,"$21,300,000",OAK,"$42,000,000",4, (2019-2022)
24,"$14,000,000",26,2021,"$18,000,000",60.00%,Allen Robinson,WR,"$25,200,000",CHI,"$42,000,000",3, (2018-2020)
26,"$14,000,000",27,2023,"$21,000,000",77.31%,Marcus Peters,CB,"$32,468,118",BAL,"$42,000,000",3, (2019-2022)
25,"$8,250,000",27,2023,"$17,297,000",53.45%,Devonta Freeman,RB,"$22,047,000",ATL,"$41,250,000",5, (2017-2022)
25,"$13,750,000",26,2022,"$27,000,000",65.45%,Donovan Smith,LT,"$27,000,000",TB,"$41,250,000",3, (2019-2021)
26,"$10,275,500",31,2020,"$21,000,000",51.09%,Jimmy Smith,CB,"$21,000,000",BAL,"$41,102,000",4, (2015-2019)
25,"$10,250,000",25,2024,"$10,760,624",51.86%,Sterling Shepard,WR,"$21,260,624",NYG,"$41,000,000",4, (2019-2023)
26,"$6,800,000",28,2024,"$7,000,000",44.12%,Cameron Brate,TE,"$18,000,000",TB,"$40,800,000",6, (2018-2023)
29,"$13,550,000",30,2022,"$10,000,000",34.44%,Carlos Dunlap,DE,"$14,000,000",CIN,"$40,650,000",3, (2018-2021)
30,"$13,333,333",31,2022,"$23,500,000",67.50%,Brandon Graham,DE,"$27,000,000",PHI,"$40,000,000",3, (2019-2021)
28,"$8,000,000",30,2023,"$6,000,000",35.00%,Nigel Bradham,OLB,"$14,000,000",PHI,"$40,000,000",5, (2018-2022)
25,"$8,000,000",29,2021,"$13,000,000",50.00%,Marvin Jones,WR,"$20,000,000",DET,"$40,000,000",5, (2016-2020)
26,"$8,000,000",27,2023,"$12,500,000",41.25%,Paul Richardson,WR,"$16,500,000",WAS,"$40,000,000",5, (2018-2022)
26,"$13,000,000",28,2022,"$24,682,500",81.75%,David Johnson,RB,"$31,882,500",ARI,"$39,000,000",3, (2018-2021)
26,"$7,700,000",28,2023,"$14,047,000",45.45%,Morgan Moses,RT,"$17,500,000",WAS,"$38,500,000",5, (2017-2022)
24,"$9,500,000",27,2022,"$13,000,000",52.63%,Christian Kirksey,ILB,"$20,000,000",CLE,"$38,000,000",4, (2017-2021)
30,"$9,375,000",31,2023,"$22,950,000",61.20%,Golden Tate,WR,"$22,950,000",NYG,"$37,500,000",4, (2019-2022)
28,"$12,333,333",29,2022,"$15,000,000",56.76%,Sheldon Richardson,DT,"$21,000,000",CLE,"$37,000,000",3, (2019-2021)
25,"$9,250,000",28,2022,"$13,697,000",58.37%,Charles Leno,LT,"$21,597,000",CHI,"$37,000,000",4, (2017-2021)
25,"$9,175,000",29,2020,"$12,000,000",47.68%,Derek Wolfe,DE,"$17,500,000",DEN,"$36,700,000",4, (2016-2019)
26,"$7,300,000",28,2023,"$9,000,000",41.51%,Chris Hubbard,RT,"$15,150,000",CLE,"$36,500,000",5, (2018-2022)
29,"$9,000,000",30,2024,"$9,250,000",25.69%,Kyle Rudolph,TE,"$9,250,000",MIN,"$36,000,000",4, (2019-2023)
27,"$9,000,000",30,2021,"$18,650,000",66.67%,Ron Leary,G,"$24,000,000",DEN,"$36,000,000",4, (2017-2020)
26,"$9,000,000",27,2023,"$10,000,000",55.77%,Quincy Enunwa,WR,"$20,078,588",NYJ,"$36,000,000",4, (2019-2022)
25,"$9,000,000",26,2023,"$12,000,000",33.33%,Adrian Amos,FS,"$12,000,000",GB,"$36,000,000",4, (2019-2022)
25,"$9,000,000",26,2023,"$16,000,000",49.72%,Justin Coleman,CB,"$17,900,000",DET,"$36,000,000",4, (2019-2022)
25,"$9,000,000",26,2023,"$12,000,000",52.78%,Adam Humphries,WR,"$19,000,000",TEN,"$36,000,000",4, (2019-2022)
27,"$8,875,000",29,2021,"$17,000,000",53.52%,Dont'a Hightower,ILB,"$19,000,000",NE,"$35,500,000",4, (2017-2020)
21,"$8,789,661",22,2024,"$35,035,000",99.65%,Kyler Murray,QB,"$35,035,000",ARI,"$35,158,645",4, (2019-2022)
28,"$8,750,000",32,2021,"$16,000,000",60.00%,Malcolm Jenkins,FS,"$21,000,000",PHI,"$35,000,000",4, (2016-2020)
25,"$7,000,000",29,2020,"$13,000,000",48.57%,Rodney McLeod,FS,"$17,000,000",PHI,"$35,000,000",5, (2016-2019)
32,"$11,500,000",34,2022,"$14,250,000",46.38%,Duane Brown,LT,"$16,000,000",SEA,"$34,500,000",3, (2018-2021)
24,"$6,800,000",27,2022,"$10,000,000",44.12%,Robert Woods,WR,"$15,000,000",LAR,"$34,000,000",5, (2017-2021)
25,"$8,500,000",28,2021,"$10,100,000",50.00%,Larry Warford,G,"$17,000,000",NO,"$34,000,000",4, (2017-2020)
25,"$8,500,000",27,2021,"$19,000,000",55.88%,Tony Jefferson,SS,"$19,000,000",BAL,"$34,000,000",4, (2017-2020)
26,"$8,500,000",28,2022,"$16,500,000",48.53%,Marqise Lee,WR,"$16,500,000",JAC,"$34,000,000",4, (2018-2021)
27,"$8,500,000",28,2023,"$17,000,000",58.82%,Jordan Hicks,ILB,"$20,000,000",ARI,"$34,000,000",4, (2019-2022)
30,"$11,250,000",30,2023,-,72.30%,Rodney Hudson,C,"$24,400,000",OAK,"$33,750,000",3, (2019-2022)
35,"$11,250,000",38,2020,"$15,000,000",44.44%,Andrew Whitworth,LT,"$15,000,000",LAR,"$33,750,000",3, (2017-2019)
25,"$6,750,000",30,2020,"$8,000,000",23.70%,Bryan Bulaga,RT,"$8,000,000",GB,"$33,750,000",5, (2015-2019)
21,"$8,387,966",22,2024,"$33,551,865",100.00%,Nick Bosa,DE,"$33,551,865",SF,"$33,551,865",4, (2019-2023)
23,"$8,325,000",24,2024,"$9,000,000",27.03%,Kenny Moore,CB,"$9,000,000",IND,"$33,300,000",4, (2019-2023)
25,"$11,083,333",29,2020,"$18,146,000",73.37%,Michael Brockers,DT,"$24,396,000",LAR,"$33,250,000",3, (2016-2019)
28,"$11,083,333",30,2022,"$20,000,000",60.15%,Casey Hayward,CB,"$20,000,000",LAC,"$33,250,000",3, (2018-2021)
30,"$11,000,000",31,2022,-,69.70%,Kareem Jackson,SS,"$23,000,000",DEN,"$33,000,000",3, (2019-2021)
29,"$11,000,000",32,2020,"$20,000,000",81.52%,Emmanuel Sanders,WR,"$26,900,000",SF,"$33,000,000",3, (2016-2019)
26,"$11,000,000",26,2023,"$18,351,132",55.61%,Nick Martin,C,"$18,351,132",HOU,"$33,000,000",3, (2019-2022)
23,"$8,170,745",24,2023,"$32,682,980",100.00%,Baker Mayfield,QB,"$32,682,980",CLE,"$32,682,980",4, (2018-2021)
28,"$10,850,000",28,2023,"$14,500,000",72.50%,J.C. Tretter,C,"$23,600,000",CLE,"$32,550,000",3, (2019-2022)
21,"$8,132,343",22,2024,"$32,529,371",100.00%,Quinnen Williams,DT,"$32,529,371",NYJ,"$32,529,371",4, (2019-2023)
26,"$6,500,000",30,2021,"$14,000,000",43.08%,Mohamed Sanu,WR,"$14,000,000",NE,"$32,500,000",5, (2016-2020)
26,"$8,125,000",27,2023,"$9,000,000",27.69%,Rob Havenstein,RT,"$9,000,000",LAR,"$32,500,000",4, (2018-2022)
28,"$6,482,000",31,2022,"$12,350,000",44.74%,Marcus Cannon,RT,"$14,500,000",NE,"$32,410,000",5, (2016-2021)
28,"$10,666,667",29,2022,"$10,000,000",31.25%,Kevin Zeitler,G,"$10,000,000",NYG,"$32,000,000",3, (2019-2021)
24,"$8,000,000",27,2021,"$16,950,000",62.34%,Kenny Stills,WR,"$19,950,000",HOU,"$32,000,000",4, (2017-2020)
26,"$8,000,000",28,2022,"$18,000,000",68.75%,Trey Burton,TE,"$22,000,000",CHI,"$32,000,000",4, (2018-2021)
22,"$7,840,204",22,2024,"$31,360,816",100.00%,Clelin Ferrell,DE,"$31,360,816",OAK,"$31,360,816",4, (2019-2023)
